Tanggal,Judul,Teks,Hashtag,LinkAffiliate,BG,Music,Status,JamWIB
2025-08-11,Bangun & Gas Lagi!,Latihan kecil mengalahkan niat besar. Mulai 10 menit hari ini tanpa nunggu mood. Ayo jalan sekarang! Klik link di deskripsi kalau mau alat pendukung belajarnya.,#Shorts #motivasi #produktif #fokus,https://s.shopee.co.id/5feSd3YzOK,assets/bg7.mp4,music/sound1.mp3,POSTED-YT(ZYOTc3k2rK4),07:08
2025-08-11,Doa & Ikhtiar,"Bismillah. Usaha boleh kecil, tapi konsisten. Allah melihat prosesmu, bukan hanya hasil. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #motivasiislami #ikhtiar #sabar,https://s.shopee.co.id/5feSd3YzOK,assets/bg2.mp4,music/sound2.mp3,,20:34
2025-08-12,3 Detik Lawan Menunda,Hitung 3...2...1... gerak! Trik sederhana yang memutus malas dan bikin kamu langsung mulai. Klik link di deskripsi kalau mau alat pendukung belajarnya.,#Shorts #antiMenunda #discipline,https://s.shopee.co.id/5feSd3YzOK,assets/bg1.mp4,music/sound2.mp3,,07:30
2025-08-12,Rezeki Tidak Tertukar,"Tenang. Fokus perbaiki diri dan kerja baik. Rezeki sudah diatur, tugas kita menjemputnya. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #tawakkal #rezeki,https://s.shopee.co.id/5feSd3YzOK,assets/bg9.mp4,music/sound3.mp3,,19:00
2025-08-13,"Target Kecil, Hasil Besar",Pilih 1 tugas terpenting. Selesaikan 25 menit. Istirahat 5 menit. Ulangi. Itu saja. Klik link di deskripsi kalau mau alat pendukung belajarnya.,#Shorts #pomodoro #fokus #produktivitas,https://s.shopee.co.id/5feSd3YzOK,assets/bg5.mp4,music/sound1.mp3,,07:30
2025-08-13,Istiqamah Itu Kunci,"Sedikit tetapi terus-menerus lebih dicintai daripada banyak tapi sebentar. Jaga ritmemu. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #istiqamah #kebaikan,https://s.shopee.co.id/5feSd3YzOK,assets/bg3.mp4,music/sound2.mp3,,19:00
2025-08-14,"Kalau Capek, Ingat Tujuan",Capek itu wajar. Menyerah itu pilihan. Ingat siapa yang kamu perjuangkan—lanjut pelan tapi pasti. Klik link di deskripsi kalau mau alat pendukung belajarnya.,#Shorts #mindset #semangat,https://s.shopee.co.id/5feSd3YzOK,assets/bg10.mp4,music/sound3.mp3,,07:30
2025-08-14,"Syukur, Lalu Lanjut","Tuliskan 3 hal yang patut disyukuri malam ini. Rasa cukup bikin hati tenang & tidur nyenyak. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #syukur #tenang,https://s.shopee.co.id/5feSd3YzOK,assets/bg4.mp4,music/sound1.mp3,,19:00
2025-08-15,Reset Pagi 5 Menit,"Rapikan meja, minum air, tarik napas 10 kali. otak jadi jernih, kerja jadi enteng. Klik link di deskripsi kalau mau alat pendukung belajarnya.",#Shorts #kebiasaan #selfimprovement,https://s.shopee.co.id/5feSd3YzOK,assets/bg8.mp4,music/sound2.mp3,,07:30
2025-08-15,Tutup Hari Dengan Doa,"Ya Allah, berkahi sisa waktu kami, kuatkan untuk besok, jauhkan kami dari lalai. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #doa #malam,https://s.shopee.co.id/5feSd3YzOK,assets/bg6.mp4,music/sound3.mp3,,19:00
2025-08-16,Stop Scroll 30 Detik,"Tutup apps, buka catatan. Tulis 1 hal yang bisa kamu kerjakan sekarang. Lalu kerjakan. Klik link di deskripsi kalau mau alat pendukung belajarnya.",#Shorts #dopamineDetox #fokus,https://s.shopee.co.id/5feSd3YzOK,assets/bg2.mp4,music/sound1.mp3,,07:30
2025-08-16,"Jaga Pandangan, Jaga Hati","Apa yang sering kita lihat, itulah yang mengisi hati. Pilih tontonan yang menumbuhkan. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #hijrah #selfcontrol,https://s.shopee.co.id/5feSd3YzOK,assets/bg1.mp4,music/sound2.mp3,,19:00
2025-08-17,Catatan Diri Hari Ini,"Satu kalimat: ‘Aku orang yang menyelesaikan hal yang kumulai.’ Tulis, baca, praktikkan. Klik link di deskripsi kalau mau alat pendukung belajarnya.",#Shorts #affirmation #growth,https://s.shopee.co.id/5feSd3YzOK,assets/bg9.mp4,music/sound3.mp3,,07:30
2025-08-17,Maafkan Diri Sendiri,"Hari ini mungkin belum sempurna, tapi kamu sudah berusaha. Besok kita mulai lagi lebih baik. Link bermanfaat ada di deskripsi, semoga berkah.",#Shorts #healing #islami,https://s.shopee.co.id/5feSd3YzOK,assets/bg5.mp4,music/sound1.mp3,,19:00
